"County","Station # *","Location Type","Name of Location","Deer Service Type","Bear Registration Type","Physical Address","City","Zip","Phone","Notes"
"Adams","0199","2. CWD sampling self-service kiosk","FRIENDSHIP RANGER STATION","CWD Testing Only - Must have completed electronic registration","Not Available for bear","532 N MAIN ST","ADAMS","53910","715-697-3129","Kiosk available 24/7   Please have Tag #, location information, and Customer ID number ready to fill out Data Sheet"
"Ashland","0212","2. CWD sampling self-service kiosk","DNR MELLEN RANGER STATION","CWD Testing Only - Must have completed electronic registration","Not Available for bear","620 W LAYMAN DRIVE","MELLEN","54546","715-562-0017","24/7 deer head drop off location. You can drop off heads for aging or CWD sampling. Aged deer will not be tested for CWD without harvest location."
"Ashland","0211","1. CWD sampling with assistance","HERITAGE MEATS","CWD Testing Only - Must have completed electronic registration","Not Available for bear","109 S. MAIN STREET","BUTTERNUT","54514","715-360-3427","DEER AGING STATION M-F 9AM-4PM Call ahead or drop off using fillable forms near side entrance. Deer must be registered prior."
"Ashland, Bayfield","0213","2. CWD sampling self-service kiosk","DNR SERVICE CENTER","CWD Testing Only - Must have completed electronic registration","Not Available for bear","2501 GOLF COURSE ROAD","ASHLAND","54806","715-681-0377","24/7 Self-service CWD kiosk."
"Barron","0313","2. CWD sampling self-service kiosk","CUMBERLAND DNR SERVICE CENTER","CWD Testing Only - Must have completed electronic registration","Not Available for bear","1341 2ND AVE","CUMBERLAND","54829","715-416-4787","24/7 Self-service CWD Kiosk along west side of building, use the alley. To sample a deer head you would like to mount, please call (715) 416-4787 for instructions."
"Barron","0316","2. CWD sampling self-service kiosk","BARRON TOWN SHOP","CWD Testing Only - Must have completed electronic registration","Not Available for bear","S 18TH ST (DRIVE PAST BARRON BUILDING SALES)","BARRON","54812","715-416-4787","24/7 Self-service CWD Kiosk. To sample a deer head you would like to mount, please call (715) 416-4787 for instructions."
"Bayfield","0417","2. CWD sampling self-service kiosk","TIMBERGHOST TAXIDERMY","CWD Testing Only - Must have completed electronic registration","Not Available for bear","8470 US HWY 2 UNIT 4","IRON RIVER","54847","715-372-5622","24/7 Self-service CWD Kiosk"
"Bayfield","0416","2. CWD sampling self-service kiosk","DNR RANGER STATION","CWD Testing Only - Must have completed electronic registration","Not Available for bear","203 E. BAYFIELD STREET","WASHBURN","54891","715-681-0377","24/7 Self-service CWD kiosk"
"Bayfield, Sawyer","0423","2. CWD sampling self-service kiosk","CABLE TRIPLE G","CWD Testing Only - Must have completed electronic registration","Not Available for bear","43718 US-63","CABLE","54821","715-798-3444","24/7 Self Service Kiosk"
"Brown","0515","2. CWD sampling self-service kiosk","DNR SERVICE CENTER- GREEN BAY","CWD Testing Only - Must have completed electronic registration","Not Available for bear","2984 SHAWANO AVE","GREEN BAY","54313","",""
"Brown","0510","2. CWD sampling self-service kiosk","NEW FRANKEN SPORTSMAN CLUB","CWD Testing Only - Must have completed electronic registration","Not Available for bear","281 N. NEW FRANKEN RD.","NEW FRANKEN","54229","920-863-8960","Located in front of large garage."
"Buffalo","0612","2. CWD sampling self-service kiosk","ALMA CITY HALL SELF-SERVICE KIOSK","CWD Testing Only - Must have completed electronic registration","Not Available for bear","314 N MAIN STREET","ALMA","54610","608-685-6222",""
"Buffalo","0616","2. CWD sampling self-service kiosk","MONDOVI SELF-SERVICE KIOSK","CWD Testing Only - Must have completed electronic registration","Not Available for bear","360 SOUTH EAU CLAIRE STREET (JUNCTION OF HWY 37 AND HWY J)","MONDOVI","54755","715-781-9019",""
"Buffalo","0615","2. CWD sampling self-service kiosk","COCHRANE-FOUNTAIN CITY FFA KIOSK","CWD Testing Only - Must have completed electronic registration","Not Available for bear","S 2770 STATE HIGHWAY 35","FOUNTAIN CITY","54629","715-781-9019","Located near aluminum can donation site near student parking lot."
"Buffalo","0613","1. CWD sampling with assistance","BUCK'S TAXIDERMY","CWD Testing Only - Must have completed electronic registration","Not Available for bear","W2203 MARKEY BLUFF ROAD","NELSON","54756","608-685-4130","M-F 9am-5pm"
"Burnett","0724","2. CWD sampling self-service kiosk","GRANTSBURG DNR RANGER STATION","CWD Testing Only - Must have completed electronic registration","Not Available for bear","325 WI-70","GRANTSBURG","54840","715-416-4787","24/7 Self-service CWD Kiosk. To sample a deer head you would like to mount, please call (715) 416-4787 for instructions."
"Burnett","0712","2. CWD sampling self-service kiosk","CREX MEADOWS WMA (DNR STATION)","CWD Testing Only - Must have completed electronic registration","Not Available for bear","110 EAST CREX AVE","GRANTSBURG","54840","715-214-7224","24/7 Self-service CWD Kiosk, along east side of registration shack. To sample a deer head you would like to mount, please call 715-635-4025 for instructions."
"Burnett","0726","2. CWD sampling self-service kiosk","ST.CROIX ENVIRONMENTAL SERVICES","CWD Testing Only - Must have completed electronic registration","Not Available for bear","24663 ANGELINE AVE JUST NORTH OF HWY 70","HERTEL","54871","","24/7 Self-service CWD kiosk - To sample a deer head you would like to mount, please call 715-416-4787 for instructions."
"Burnett","0702","2. CWD sampling self-service kiosk","LOG CABIN","CWD Testing Only - Must have completed electronic registration","Not Available for bear","30217 HWY 35 (HWY 35 AND HWY 77 NEXT TO FUR SHED)","DANBURY","54830-9222","715-416-4787","24/7 Self-service CWD Kiosk by fur shed. To sample a deer head you would like to mount, please call (715) 416-4787 for instructions."
"Calumet","0802","2. CWD sampling self-service kiosk","HIGH CLIFF STATE PARK MAINTENANCE SHOP","CWD Testing Only - Must have completed electronic registration","Not Available for bear","NONE","SHERWOOD","","",""
"Chippewa","0917","2. CWD sampling self-service kiosk","BOB'S PROCESSING","CWD Testing Only - Must have completed electronic registration","Not Available for bear","2430 S. MAIN STREET","BLOOMER","54724","608-386-2368","24/7 Kiosk"
"Chippewa","0923","2. CWD sampling self-service kiosk","CORNELL RANGER STATION","CWD Testing Only - Must have completed electronic registration","Not Available for bear","117 S RIVERSIDE DR","CORNELL","54732","608-386-2368","24 hour self-service kiosk"
"Chippewa","0924","2. CWD sampling self-service kiosk","JACOBSON'S HARDWARE","CWD Testing Only - Must have completed electronic registration","Not Available for bear","17168 COUNTY HIGHWAY J","CHIPPEWA FALLS","54729","608-386-2368","24 hour self-service kiosk"
"Clark","1038","2. CWD sampling self-service kiosk","WOLF'S TRUE VALUE","CWD Testing Only - Must have completed electronic registration","Not Available for bear","315 S MAIN ST","GREENWOOD","54437","715-299-1258",""
"Clark","1039","2. CWD sampling self-service kiosk","CITY OF OWEN GARAGE","CWD Testing Only - Must have completed electronic registration","Not Available for bear","951 E 3RD ST","OWEN","54460","715-299-1258","Available 24/7"
"Columbia","1121","3. CWD sampling by appointment only","DNR WILDLIFE MANAGEMENT OFFICE","CWD Testing Only - Must have completed electronic registration","Electronic registration options available","N3344 STEBBINS ROAD","POYNETTE","53955","608-445-5269","Call or email (608-445-5269; savanna.hartman@wisconsin.gov) to set up an appointment to bring deer or deer head for CWD sampling or aging. Please fill out the datasheet through phone/email or app prior to bringing deer for sampling."
"Columbia","1122","2. CWD sampling self-service kiosk","DNR GAME FARM FIELD STATION","CWD Testing Only - Must have completed electronic registration","Not Available for bear","N3344 STEBBINS ROAD","POYNETTE","53955","608-445-5269","Available 24 hours a day; Hunters must be willing to remove antlers or the deer head must already be antlerless. Kiosk is located at the corner of Stebbins and Bohling Rds, just south of the State Game Farm entrance road."
"Columbia","1123","2. CWD sampling self-service kiosk","PINE ISLAND WA FIELD STATION","CWD Testing Only - Must have completed electronic registration","Not Available for bear","WEST OF I-39 ON LEVEE RD","PORTAGE","","608-445-5269","Available 24 hours a day; Hunters must be willing to remove antlers or the deer head must already be antlerless. Kiosk is located at the first parking lot to the west of I-39 on the south side of Levee Rd (Mootz Pond lot)."
"Columbia","1124","2. CWD sampling self-service kiosk","LODI MARSH","CWD Testing Only - Must have completed electronic registration","Not Available for bear","LEE ROAD","LODI","53555","608-220-2574","ATTENTION: Site has moved back to old location at Riddle Road  24/7 Self-Service CWD Kiosk; Hunters must be willing to remove antlers, skull cap, or the deer head must already be antlerless."
"Crawford","1252","3. CWD sampling by appointment only","EASTMAN LOCKER","CWD Testing Only - Must have completed electronic registration","Not Available for bear","107 N MAIN STREET","EASTMAN","54626","608-874-4331","Call ahead"
"Crawford","1210","3. CWD sampling by appointment only","RICK LANGE TAXIDERMY","CWD Testing Only - Must have completed electronic registration","Not Available for bear","1213 S. 10TH ST","PRAIRIE DU CHIEN","53821","608-326-6799","Call for appointment."
"Crawford","1206","2. CWD sampling self-service kiosk","MCCORMICK'S BAR & GRILL","CWD Testing Only - Must have completed electronic registration","Not Available for bear","16463 STORE RD.","ROLLING GROUND","54655","608-624-5684","24/7 Kiosk"
"Crawford","1250","2. CWD sampling self-service kiosk","NCS GUNSMITHING SELF-SERVICE KIOSK","CWD Testing Only - Must have completed electronic registration","Not Available for bear","815 E. CAMPION BLVD.","PRAIRIE DU CHIEN","53821","608-485-0876","24-hour self-service kiosk located outside of NCS Gunsmithing.  For information, contact Viroqua DNR Wildlife office at 608-637-3938"
"Crawford, Vernon","1251","1. CWD sampling with assistance","ANDY NOVAK","CWD Testing Only - Must have completed electronic registration","Not Available for bear","55836 CTY C","FERRYVILLE","54628","","24/7 Kiosk"
"Dane","1398","2. CWD sampling self-service kiosk","DNR SERVICE CENTER","CWD Testing Only - Must have completed electronic registration","Not Available for bear","3911 FISH HATCHERY RD","FITCHBURG","53711","608-516-3895","24/7 Self-service kiosk available at the north end of the lower parking lot. DNR Wildlife Management staff available to assist in lymph node sampling by appointment only, call Julie Widholm 608-516-3895"
"Dane","1365","2. CWD sampling self-service kiosk","SALMO POND COUNTY PARK","CWD Testing Only - Must have completed electronic registration","Not Available for bear","4809 SCHERBEL ROAD","BLACK EARTH","53515","608-485-3610","24/7 self-service kiosk  Please contact Spencer Parkinson (608) 485-3610 for any questions"
"Dodge","1427","2. CWD sampling self-service kiosk","LEROY MEATS (FOX LAKE)","CWD Testing Only - Must have completed electronic registration","Not Available for bear","739 W STATE STREET","FOX LAKE, WI","53933","920-485-2554","Kiosk is located at Wild Game Processing in Fox Lake, across the street from Leroy's Meats of Fox Lake. Please note - staff are not able to assist with sampling."
"Dodge","1499","2. CWD sampling self-service kiosk","DNR - HORICON","CWD Testing Only - Must have completed electronic registration","Not Available for bear","1210 NORTH PALMATORY STREET","HORICON","53032","920-763-6405","24/7 self-service kiosk at the DNR Maintenance Shop, located at the Northeast corner of the grey shop building."
"Dodge","1430","1. CWD sampling with assistance","SETH'S TAXIDERMY","CWD Testing Only - Must have completed electronic registration","Not Available for bear","N1407 2ND STREET ROAD","WATERTOWN","53098","920-248-9653",""
"Door","1510","2. CWD sampling self-service kiosk","STRUGEON BAY DNR SERVICE CENTER","CWD Testing Only - Must have completed electronic registration","Not Available for bear","110 S NEENAH AVE","STURGEON BAY","54235","","Located next to garage doors on the main building"
"Douglas","1618","2. CWD sampling self-service kiosk","BRULE DNR FIELD STATION","CWD Testing Only - Must have completed electronic registration","Not Available for bear","6250 S. RANGER RD.","BRULE","54820","","24/7 Self-service CWD Kiosk"
"Douglas","1620","2. CWD sampling self-service kiosk","BAIT BOX","CWD Testing Only - Must have completed electronic registration","Not Available for bear","3729 E 2ND ST","SUPERIOR","54880","715-398-3554","24/7 Self-service CWD Kiosk"
"Dunn","1720","2. CWD sampling self-service kiosk","MENOMONIE DNR OFFICE","CWD Testing Only - Must have completed electronic registration","Not Available for bear","921 BRICKYARD RD","MENOMONIE","54751","715-410-0265","Staffed by appointment and 24 hour self-serve kiosk"
"Dunn","1718","2. CWD sampling self-service kiosk","BRIDGE STOP","CWD Testing Only - Must have completed electronic registration","Not Available for bear","101 WI-25","WHEELER","54772","715-632-2845","24 hour self-serve kiosk"
"Dunn","1727","2. CWD sampling self-service kiosk","ROCK CREEK TOWNHALL","CWD Testing Only - Must have completed electronic registration","Not Available for bear","N995 COUNTY RD H","MONDOVI","54755","715-410-0265","24 hour kiosk"
"Eau Claire","1818","2. CWD sampling self-service kiosk","AUGUSTA RANGER STATION","CWD Testing Only - Must have completed electronic registration","Not Available for bear","550 INDUSTRIAL DRIVE","AUGUSTA","54722","715-286-4340","24 hour self-service kiosk"
"Eau Claire","1801","2. CWD sampling self-service kiosk","EAU CLAIRE SERVICE CENTER","CWD Testing Only - Must have completed electronic registration","Not Available for bear","1300 W. CLAIREMONT AVEUNE","EAU CLAIRE","54701","608-386-2368","Kiosk outside office 24 hours"
"Eau Claire","1825","2. CWD sampling self-service kiosk","MIKE'S STAR MARKET","CWD Testing Only - Must have completed electronic registration","Not Available for bear","2238 HEIMSTEAD RD.","EAU CLAIRE","54703","608-386-2368","24/7 kiosk"
"Eau Claire","1840","2. CWD sampling self-service kiosk","BRUNSWICK TOWNHALL","CWD Testing Only - Must have completed electronic registration","Not Available for bear","W5465 CTY RD Z","EAU CLAIRE","54701","",""
"Eau Claire","1833","1. CWD sampling with assistance","VOJTIK'S STOCKYARD","CWD Testing Only - Must have completed electronic registration","Not Available for bear","S12560 COUNTY HIGHWAY H","FAIRCHILD","54741","715-533-0083","Call ahead for appointment"
"Florence","1902","2. CWD sampling self-service kiosk","WILD RIVERS INTERPRETIVE CENTER - NATURAL RESOURCE CENTER","CWD Testing Only - Must have completed electronic registration","Not Available for bear","5628 FORESTRY DRIVE","FLORENCE","54121","715-218-8218","Self-Service Kiosk available 24/7.  Located in lower parking lot off of Blome-Helgren Rd. Follow the ""CWD Sample Site"" signs. Kiosk is next to brown DNR garage."
